GeneID	GSM5115668	GSM5115669	GSM5115670	GSM5115671	GSM5115672	GSM5115673	GSM5115674	GSM5115675
100287102	10	9	9	7	10	8	5	8
653635	312	305	232	251	426	326	264	302
102466751	4	4	4	4	5	5	3	3
107985730	0	0	0	0	1	0	0	1
100302278	0	0	0	0	0	0	0	0
645520	0	1	0	1	0	1	1	0
79501	0	0	0	0	0	0	0	0
100996442	44	51	31	37	69	60	38	43
729737	123	143	119	134	135	114	112	102
102725121	4	5	3	3	2	2	1	1
102723897	347	345	263	292	463	358	310	337
102465909	4	4	4	4	4	5	4	3
107985721	1	1	2	1	1	0	2	1
112268260	11	14	9	11	21	18	11	11
729759	0	0	0	0	0	0	1	0
100132287	157	175	136	138	117	102	100	91
105378947	3	1	1	2	3	1	1	0
101928626	0	0	0	0	0	0	0	0
113219467	17808	26347	21661	18290	28406	23353	19179	24561
81399	3	2	2	1	5	3	4	2
100133331	151	177	139	147	122	100	103	101
107984841	17	19	14	12	13	13	6	9
107984847	22	28	38	24	18	11	11	14
107984849	1	1	1	2	1	1	0	1
100288069	28	29	24	26	34	22	16	16
105378580	23	35	23	21	43	30	23	23
400728	3	8	3	3	1	3	3	3
79854	16	13	14	8	30	29	23	24
643837	262	308	256	215	206	163	127	156
107984850	0	1	2	0	1	2	2	0
284593	7	6	3	4	4	4	3	4
284600	25	25	29	24	2	0	0	0
100130417	29	35	28	42	2	1	1	0
107985728	63	67	54	89	1	4	1	3
148398	708	660	561	571	260	214	186	180
26155	2918	2946	2344	2424	3263	2627	2063	1917
339451	557	547	446	449	479	397	344	337
84069	37	26	17	30	52	43	37	34
84808	6	4	3	7	25	26	33	24
57801	617	580	542	577	599	534	453	493
9636	164	174	144	135	1470	1230	909	1080
375790	4397	4608	3845	4188	8830	7437	6065	6126
100288175	20	12	18	14	74	61	63	73
112267874	0	3	0	2	8	7	7	6
105378948	20	17	17	13	66	57	64	72
401934	0	0	0	1	2	2	3	2
54991	365	349	239	279	277	240	192	173
254099	2	0	1	0	3	1	4	4
406984	0	0	0	0	0	1	1	0
406983	0	0	0	0	0	0	0	1
554210	0	0	1	0	0	0	1	1
100506376	1	0	0	1	1	1	1	1
254173	5	0	0	0	0	2	1	0
8784	0	0	0	0	0	0	1	0
7293	4	5	1	0	0	1	2	2
51150	4364	4233	3444	3748	7864	6389	4671	4898
126792	1013	930	793	785	630	558	413	458
388581	14	16	19	15	6	8	5	6
118424	1205	1252	1023	975	1605	1385	990	1047
101928895	10	12	12	12	16	12	9	7
6339	10	6	13	10	36	32	32	20
116983	2215	2065	1744	1832	2316	1903	1467	1552
102465434	0	0	0	0	0	1	0	0
109623456	4	5	2	4	3	4	2	2
126789	584	477	475	465	683	564	403	460
54973	1679	1673	1296	1333	2084	1637	1336	1347
102465435	4	3	0	1	2	1	0	2
80772	463	404	394	406	697	662	445	415
83756	21	23	16	19	57	56	36	59
1855	1240	1114	930	1005	2937	2528	1755	1873
102466740	1	1	1	1	1	0	1	0
54587	497	475	375	448	2160	1857	1477	1557
54998	2792	2603	2162	2231	4347	3569	2609	2765
81669	4588	4759	3542	3453	4281	3675	2959	3151
148413	590	618	443	460	547	460	420	421
55052	1337	1354	921	913	1451	1242	1002	1120
107984868	2	3	1	3	21	23	19	16
441869	23	12	14	11	813	665	454	485
105378585	4	2	3	3	15	17	18	18
643965	4	2	0	1	39	37	35	37
102724312	18	29	20	17	107	89	83	74
107985729	12	10	6	14	84	75	63	66
64856	1372	1360	1094	1220	7873	6672	5227	5209
219293	159	154	128	126	191	191	119	133
83858	1644	1572	1288	1461	1302	1119	854	886
55210	1801	1806	1485	1591	1605	1335	970	977
339453	11	5	4	7	7	8	4	3
29101	2577	2569	2090	1933	3777	3178	2356	2384
643988	25	48	32	24	40	26	32	25
105378586	1	2	3	1	2	5	2	2
142678	831	784	561	692	1268	1018	830	884
8510	63	62	52	53	35	30	28	31
984	1512	1549	1111	1282	1263	1034	801	853
728661	1257	1242	997	1019	1351	1110	833	773
8511	11	11	14	15	11	5	7	4
728642	1307	1298	945	1070	974	748	616	680
9906	515	540	406	438	568	485	409	378
112268218	116	108	92	103	156	116	105	90
65220	1851	1869	1507	1515	2612	2205	1413	1376
2782	8225	9008	6650	6734	8603	7725	5326	5369
105378949	13	11	9	8	16	12	11	12
163688	3	4	2	2	1	1	0	1
339456	66	52	46	39	112	109	64	74
85452	6	2	0	2	11	8	9	8
107984872	0	1	0	0	8	6	3	4
105378589	2	0	2	0	0	0	0	0
2563	0	1	1	0	0	0	0	0
105378590	1	0	0	0	1	3	1	1
105378591	1	0	0	1	0	2	2	0
5590	19	10	11	7	1854	1509	1069	1128
100506504	0	0	0	2	17	16	16	20
199990	445	432	332	355	1263	1051	883	931
112268219	29	40	30	29	39	44	39	48
105378593	4	6	4	6	8	4	3	11
6497	1350	1578	1234	1264	1661	1427	1158	1103
79906	70	90	65	49	68	64	40	52
100129534	18	12	16	19	24	20	24	17
11079	2173	2341	1745	1602	3487	3169	2232	2340
5192	377	418	318	318	700	598	445	453
9651	4	3	0	7	97	89	67	77
55229	480	449	352	381	566	473	338	355
388585	0	1	0	0	3	3	1	1
115110	8	14	5	8	142	98	75	85
8764	101	109	74	101	612	475	436	422
100996583	2	2	0	0	1	0	4	0
127281	255	227	188	210	1225	1019	794	732
79258	18	14	17	11	97	82	70	70
105378597	1	5	4	1	0	0	4	1
100287898	8	4	4	4	8	8	5	6
105378603	0	0	0	0	0	0	0	0
105378602	0	0	0	0	0	0	0	0
105378601	0	0	0	0	0	0	0	0
112268220	0	0	0	0	0	0	0	0
107985732	0	0	0	0	0	0	0	1
105378600	0	0	0	0	0	0	0	0
105378598	1	0	0	0	0	0	0	0
107984904	0	0	0	0	0	0	0	1
105378599	0	0	0	0	0	0	0	0
140625	0	0	0	0	0	0	0	0
440556	12	17	15	13	16	20	28	23
63976	154	191	122	135	55	53	40	33
100422968	0	0	0	0	0	0	0	0
105378606	2	1	3	0	0	0	0	1
107984909	123	107	88	89	33	42	27	20
105378605	0	4	1	1	1	0	0	0
105378604	3	2	2	3	394	383	267	280
27237	246	215	205	213	1187	916	783	755
1953	5	4	3	1	33	19	21	19
105378608	0	0	0	1	0	0	0	0
693135	0	0	0	0	0	0	0	0
105378607	0	0	0	0	0	0	0	0
127262	1793	1903	1543	1452	2744	2301	1569	1537
49856	385	371	266	261	785	689	497	508
7161	41	28	24	17	151	105	85	92
105378610	0	1	1	0	10	5	7	3
105378609	1	0	1	0	0	0	1	1
57212	545	540	458	436	574	430	339	312
148870	0	0	0	0	8	2	3	3
388588	40	24	18	21	464	392	291	340
57470	1106	1246	894	987	1400	1177	1007	996
9731	601	668	501	465	1120	887	517	584
1677	107	109	76	69	207	157	124	123
107984910	7	11	8	8	6	4	4	6
339448	675	729	524	511	544	468	395	389
100133612	16	21	26	20	55	36	29	20
728716	0	1	0	0	0	0	0	0
105376672	0	0	0	0	0	0	0	0
105376673	2	1	0	1	0	0	0	1
284661	0	0	0	0	0	0	0	1
105376674	0	1	0	0	0	0	0	0
105376679	0	1	0	0	0	0	0	0
107985376	0	0	0	0	0	0	0	0
55966	1	1	4	1	0	1	2	4
105376680	0	0	0	0	0	0	0	0
102724429	1	0	1	0	0	0	0	0
105376681	0	0	0	0	0	0	0	0
105376682	0	0	0	0	0	0	0	0
107984911	1	1	0	0	0	0	0	0
105376686	1	0	0	0	0	0	0	0
100616421	0	0	0	0	1	0	0	1
261734	253	236	180	208	667	566	431	400
8514	83	59	43	62	544	457	254	313
26038	9	6	5	8	1	0	4	4
105376687	0	0	0	0	0	0	0	0
6146	10789	11486	7419	6874	14250	12471	10140	11001
107985733	6	3	5	5	8	4	2	9
102724450	0	4	0	0	2	1	4	2
388591	289	299	293	295	159	147	102	113
23463	3218	3646	2905	2726	3518	3110	2106	1950
148645	56	55	42	43	3	1	1	6
390992	0	0	0	0	0	0	0	0
387509	54	35	35	37	50	35	32	23
11332	753	719	671	601	2252	1862	1256	1346
54626	18	15	14	14	6	8	6	4
83715	373	378	238	302	3688	3104	2711	2788
100422975	0	0	0	0	0	0	0	0
8718	35	15	21	14	52	37	39	32
57449	85	74	66	59	80	57	57	55
79707	538	753	529	502	631	490	500	457
80835	7	1	4	5	41	35	29	31
107984912	0	0	0	1	1	3	2	1
3104	355	334	239	261	304	264	211	223
9903	871	996	872	820	1833	1627	1089	1059
107984913	1	1	1	1	2	8	7	5
148479	708	730	576	581	905	719	551	547
90326	693	634	489	533	726	633	523	568
55735	1850	1850	1376	1433	1696	1469	1008	1056
100505887	0	0	0	0	0	0	0	0
110841581	5	2	3	4	12	5	7	4
23261	576	649	430	353	822	717	543	563
105376692	1	1	2	0	1	2	1	2
102725193	0	0	0	0	0	0	0	0
101928836	0	1	0	1	1	0	0	0
105376691	0	0	0	0	0	0	0	0
105376689	0	1	1	0	36	32	26	31
9341	1739	1970	1371	1232	3477	3157	2174	2371
8863	22	27	17	15	44	55	23	26
10911	2	1	0	0	1	2	0	0
3604	6	17	7	12	2	2	2	0
11315	4422	4434	3040	2984	6432	5590	4306	4875
54206	4273	5119	3528	3358	23013	20471	16566	17192
107984915	1	1	2	0	2	0	0	0
102724539	0	1	0	0	1	5	2	2
105376695	0	1	0	0	6	5	2	5
50651	0	1	3	1	7	8	7	5
473	1889	2391	1900	1932	1574	1420	1006	1049
102724552	1	0	2	2	2	1	0	0
106632271	0	0	0	0	0	0	0	0
2023	37897	37323	29166	28641	96741	82685	68544	69436
102465436	1	0	0	0	0	2	1	3
100505975	5	7	9	1	3	12	5	5
112268261	24	26	14	13	23	11	6	9
765	0	1	0	0	1	0	0	0
155184	1	4	3	2	2	1	1	2
6518	4	1	0	2	4	6	4	6
80045	243	315	292	259	1104	955	972	811
106614088	87	112	59	74	367	358	191	180
407040	0	0	0	0	1	0	1	0
102724571	6	4	4	4	11	11	7	8
9563	1417	1698	1321	1311	1341	1230	990	931
80176	481	527	451	385	643	513	308	358
100506022	6	6	4	3	1	2	3	1
84275	876	908	686	609	2360	2149	1471	1467
199953	366	387	297	300	553	498	409	331
107985734	13	11	5	14	22	15	17	14
105376712	0	0	0	0	0	0	0	0
5293	188	189	153	165	534	458	366	335
644997	0	0	0	0	0	0	0	0
101929074	85	65	59	65	16	12	13	15
22883	3281	3599	2770	2884	4133	3474	2661	2527
56998	1298	1245	1003	934	2161	1638	1277	1441
105376717	18	30	15	16	53	49	29	28
84328	1166	1387	982	883	1651	1420	1146	1181
64802	369	417	329	307	331	290	214	184
113391335	0	1	2	0	0	0	0	1
100847055	0	0	0	0	0	0	0	0
116362	15	11	11	6	13	6	8	7
10277	3486	4150	3007	2961	2476	2151	1490	1560
23095	1809	2471	1839	1743	3102	2602	1595	1602
105376725	4	0	2	2	1	0	1	4
5226	9202	9653	7400	7429	7878	6789	4703	4811
100526739	111	102	80	79	167	131	79	101
378708	188	174	138	150	273	220	151	183
1325	11	11	10	7	16	15	13	11
1676	1641	1871	1507	1456	1460	1245	1067	952
5195	502	492	438	433	708	568	445	473
54897	208	232	231	228	385	306	183	203
105376733	1	0	0	0	0	0	0	0
105376735	0	0	0	0	0	0	0	0
148345	2	0	0	2	0	0	2	0
23435	4197	4923	3497	3253	4147	3646	2695	2849
10747	36	34	23	23	387	306	202	210
6723	2186	1905	1456	1683	2828	2441	1876	1833
5394	2448	2486	1768	1805	2672	2300	1360	1565
105376736	11	16	7	12	24	13	5	18
2475	2739	3049	2339	2371	2277	1885	984	1131
100873935	21	22	19	14	19	17	6	9
10218	5	1	1	1	0	0	1	2
29914	461	482	383	405	985	820	569	519
105376737	0	1	0	0	0	0	1	0
105376739	0	0	0	0	0	0	0	0
105376740	3	2	1	0	0	1	1	1
57540	21	11	18	14	3	3	4	0
112268221	2	3	1	4	0	0	0	0
101929181	0	1	0	0	0	2	0	1
26232	1602	1394	1209	1357	7932	7113	5281	5428
93611	589	569	471	491	1047	814	652	671
26270	132	120	103	100	218	178	114	115
10459	881	759	622	681	1838	1498	1080	1108
374946	8	4	1	1	2	2	1	3
57085	316	324	205	219	655	549	429	479
284498	56	61	57	65	36	23	21	14
102724659	0	2	1	0	0	0	0	3
4524	399	445	395	418	218	160	108	102
1185	1250	1269	964	1102	609	494	306	444
100379251	254	243	199	208	84	71	52	60
4878	49	45	40	44	8	6	5	9
4879	34	43	41	35	11	3	5	8
26829	0	28	13	11	34	17	4	13
90231	1413	1361	996	1083	3574	2978	2358	2431
5351	1901	1779	1523	1452	8376	6971	5174	5334
9927	2850	3092	2410	2485	3255	2689	1812	1746
60672	839	731	629	639	549	422	323	349
102466982	0	1	0	1	0	0	0	1
943	3	0	0	0	0	0	1	2
102465836	0	0	0	0	0	0	0	0
7133	2	1	0	0	5	8	5	6
100616438	0	0	0	0	0	0	0	0
107984917	4	1	0	0	0	0	0	1
55187	711	876	659	641	1041	866	429	481
677885	2	0	1	0	4	2	3	1
105376744	19	23	14	19	48	26	48	45
9249	933	884	765	731	2346	1881	1797	1766
102466722	2	0	2	0	2	2	2	1
343066	1	0	0	0	0	0	0	0
126767	0	0	0	0	0	0	0	0
93190	1	0	2	0	0	0	0	1
390999	0	0	0	0	0	0	0	0
65121	0	0	0	0	0	0	1	0
105376745	0	0	0	0	0	0	0	0
440560	0	0	0	0	0	0	1	0
343069	192	205	135	135	264	213	152	146
65122	1	0	0	0	0	0	1	0
400735	0	0	0	0	0	0	0	0
343071	1	0	0	0	0	0	2	1
441871	1	0	0	0	0	0	0	1
440561	0	0	0	0	0	0	0	1
101929983	1	0	0	0	0	0	0	0
649330	1	2	0	0	2	0	0	1
441873	0	0	0	0	0	0	0	1
649324	0	0	0	0	0	0	0	0
440563	134	136	88	86	166	139	91	94
645354	0	0	0	0	0	0	0	0
645359	0	0	0	0	0	0	0	1
101060301	1	1	0	0	1	0	0	0
343070	0	0	0	0	0	0	0	0
400736	0	0	0	0	0	0	0	0
391003	0	0	0	1	0	0	0	2
343068	0	0	0	0	0	0	0	0
391002	1	0	0	0	0	0	0	1
645382	1	0	0	0	0	0	1	1
653619	1	0	0	0	0	0	0	1
729528	0	0	0	0	0	0	0	0
645414	0	0	0	0	0	0	1	1
391004	0	1	0	0	0	0	1	0
645425	0	1	0	0	0	0	0	0
126755	0	0	0	0	0	0	0	0
102724856	0	0	0	1	0	0	0	2
107984918	0	0	0	0	0	0	0	0
10630	0	0	0	1	0	0	0	1
107984919	0	0	0	0	1	0	0	1
105378612	1	1	1	1	0	0	2	0
105376756	0	0	0	0	0	0	0	0
7799	533	663	472	480	534	438	294	275
23254	15	10	7	3	1322	1185	805	727
107985467	0	0	0	0	0	0	0	0
107985468	0	0	0	0	0	0	0	0
105376762	0	0	0	1	0	0	0	0
105376759	3	1	0	1	0	1	0	1
107985469	1	1	1	0	0	0	1	2
200197	11	8	6	5	204	167	120	125
55092	207	166	134	153	1439	1176	987	949
727684	1	0	0	0	2	2	0	2
114827	2	3	0	2	7	3	5	6
101927417	6	1	3	3	0	3	1	5
101927441	2	0	3	1	4	1	0	0
79180	740	661	497	559	1781	1571	1156	1119
11330	6	4	2	0	1	1	4	4
63036	2	1	1	1	0	0	1	0
105376767	0	0	0	1	0	0	2	0
51032	3	4	4	3	1	2	3	1
842	307	321	244	241	312	275	192	181
23341	999	1205	966	868	1138	1026	872	821
107397391	0	0	0	0	0	0	0	0
79814	2612	3020	2213	2191	6210	5190	3928	3672
84301	2449	3246	2252	2130	1684	1458	863	865
6248	335	463	315	316	292	214	95	105
23207	1168	1163	1036	1029	1790	1410	1041	1046
284723	19	26	15	22	10	11	4	8
110806303	3	2	0	0	2	3	1	1
388595	65	37	53	49	16	13	13	14
54751	1458	1468	1337	1357	1121	933	599	643
440567	897	1083	623	554	1329	1043	792	893
729614	106	110	63	73	85	66	46	58
23013	2284	2608	1946	2182	1978	1617	789	890
7709	725	750	632	653	695	597	445	450
149563	1	0	2	1	373	339	290	274
27129	5	7	8	4	22	15	24	13
1187	5	4	8	6	7	5	3	5
1188	3	2	5	1	3	3	3	3
348487	6	8	3	4	13	12	11	9
1969	1561	1704	1539	1719	3523	2973	2124	2180
101927479	21	22	16	11	26	26	26	21
128272	85	74	44	56	54	39	32	31
101927546	4	6	2	5	4	7	3	1
79363	18	21	11	14	17	12	11	10
54455	632	720	573	484	782	618	463	456
26099	1861	2039	1537	1585	2338	1942	1222	1219
