gene_symbol	OFO1003B1	OFO1003B2	OFO1003O1	OFO1003O2	OFO1003V1	OFO1003V2	OFO1004B1	OFO1004B2	OFO1004O1	OFO1004O2	OFO1004V1	OFO1004V2	OFO1005B1	OFO1005B2	OFO1005O1	OFO1005O2	OFO1005V1	OFO1005V2
DDX11L1	1	0	0	0	0	0	0	2	2	0	0	0	1	0	0	0	0	1
WASH7P	448	437	412	510	637	686	263	300	247	329	256	163	373	367	182	222	252	242
MIR6859-2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
MIR6859-1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
FAM138A	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
FAM138F	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OR4F5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LOC729737	137	121	116	110	184	214	62	59	70	71	80	80	123	121	87	68	81	78
LOC100132287	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LOC100133331	65	82	74	73	67	74	65	75	59	73	82	64	67	46	59	53	65	53
LOC100132062	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OR4F16	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OR4F29	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OR4F3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
MIR6723	67	101	51	64	46	64	62	87	66	47	53	58	75	124	55	46	67	72
LOC100288069	40	42	34	28	47	49	29	40	39	54	38	34	59	52	50	38	44	46
FAM87B	9	8	3	5	6	3	1	5	4	3	2	2	6	6	2	1	9	8
LINC00115	40	17	50	32	108	90	52	27	37	44	67	33	105	84	55	48	49	34
LINC01128	503	512	206	242	427	450	239	234	224	322	326	202	472	451	93	156	296	236
FAM41C	2	3	0	1	0	0	1	2	0	1	0	0	0	0	0	0	0	0
LOC100130417	71	65	38	50	62	65	21	23	33	40	44	27	53	75	5	11	31	19
SAMD11	178	172	28	27	43	34	78	73	51	79	17	16	102	77	39	46	107	86
NOC2L	1631	1638	1585	1572	2118	1933	1906	2009	1698	2199	1776	1298	1611	1573	2146	2437	2155	1770
KLHL17	245	185	263	244	278	288	197	186	210	225	237	203	204	239	242	239	202	163
PLEKHN1	4	3	1	0	4	3	9	5	3	5	1	5	0	3	4	3	4	1
PERM1	5	3	1	0	0	2	9	5	4	0	1	0	2	1	2	0	1	1
HES4	983	954	1698	1611	1920	1876	1919	1821	1397	1398	1844	1331	1185	1082	839	905	1001	829
ISG15	268	193	180	130	210	201	1316	1046	881	1024	795	557	260	200	1240	1421	1156	987
AGRN	5540	5425	4658	4869	6576	6774	5134	5737	4559	5636	5251	4127	4496	4746	2361	2927	3970	3589
RNF223	4	5	2	0	3	0	5	3	1	1	3	1	1	0	5	3	3	2
C1orf159	177	149	160	176	234	224	145	138	129	199	149	117	167	131	75	122	142	133
LINC01342	1	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0
MIR200B	0	0	0	0	0	0	1	2	0	1	0	0	0	0	0	0	1	0
MIR200A	0	1	0	0	0	0	2	0	0	0	0	0	0	0	0	1	0	0
MIR429	3	1	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0
TTLL10	151	136	22	34	36	27	51	55	52	48	8	4	26	28	6	9	19	12
TNFRSF18	11	8	7	7	8	12	8	6	0	5	9	7	4	2	9	3	7	1
TNFRSF4	1	1	6	9	15	6	5	4	3	0	4	2	1	6	1	2	4	1
SDF4	2639	2592	1615	1790	2082	2056	2532	2401	1822	2301	1555	1240	2445	2296	1155	1290	1696	1352
B3GALT6	841	742	486	471	556	595	540	512	457	506	388	249	529	478	173	184	367	362
FAM132A	44	41	67	107	110	155	56	56	36	48	74	43	54	80	21	36	35	38
UBE2J2	1011	995	871	916	1135	1180	1132	977	856	1018	947	681	1085	1043	670	790	997	753
SCNN1D	142	139	145	171	215	209	61	75	53	69	89	61	166	158	27	34	77	80
ACAP3	1819	1663	1925	2029	3094	3093	1114	1115	928	1199	1539	1178	2470	2448	356	442	1017	824
MIR6726	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PUSL1	169	168	135	147	189	216	219	173	154	149	125	109	175	186	140	197	197	162
CPSF3L	1577	1518	1641	1739	2137	2069	1696	1735	1409	1725	1723	1333	1696	1646	1044	1284	1274	1112
MIR6727	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
GLTPD1	429	391	301	293	366	401	244	237	193	313	265	190	380	350	85	106	200	195
TAS1R3	24	13	8	8	14	24	10	12	7	4	4	5	8	16	1	2	5	3
DVL1	1771	1480	1387	1453	1763	1903	1433	1374	1265	1522	1358	1073	2014	2050	759	1000	1354	1148
MIR6808	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
MXRA8	587	585	236	274	360	318	1348	1257	751	821	943	704	373	408	649	807	728	632
AURKAIP1	1190	1029	1038	1157	1185	1001	1909	1628	1222	1666	1181	852	1266	1242	1502	1881	1697	1339
CCNL2	1972	2042	1416	1405	2261	2219	1733	1821	1491	1831	1905	1377	1912	1777	1121	1192	1425	1186
LOC148413	327	304	224	235	303	277	334	288	267	313	265	163	252	226	213	202	264	224
MRPL20	669	628	469	520	546	510	950	924	762	918	766	536	655	643	1011	1154	1055	937
ANKRD65	25	25	56	72	77	75	53	37	18	17	38	24	19	14	9	28	23	17
TMEM88B	8	11	19	17	26	31	28	30	23	26	39	15	17	12	15	18	15	12
VWA1	579	519	376	294	349	356	1003	988	614	669	668	510	361	347	692	858	632	608
ATAD3C	4	7	15	13	16	26	22	17	9	15	23	9	7	10	31	25	21	13
ATAD3B	443	371	366	360	573	627	539	519	388	550	588	369	365	332	1039	1112	616	510
ATAD3A	516	453	394	423	515	479	681	647	579	681	511	382	470	421	691	836	594	428
TMEM240	250	213	250	206	236	288	121	97	121	128	174	113	262	274	40	62	138	145
SSU72	1438	1268	1296	1213	1545	1490	1595	1527	1231	1384	1512	1153	1823	1654	1544	1557	1789	1557
C1orf233	253	196	117	87	144	134	221	200	160	179	175	139	202	171	199	245	276	255
MIB2	1484	1331	1352	1443	1967	1862	1161	1152	1033	1188	1177	901	1420	1426	612	823	931	812
MMP23B	4	3	11	4	4	1	10	8	0	2	0	4	2	1	14	5	6	3
MMP23A	3	4	3	10	10	6	3	8	3	4	3	3	2	7	4	6	5	8
CDK11B	616	542	713	760	808	753	620	648	497	589	560	483	598	657	406	499	467	394
SLC35E2B	1914	1850	1025	1065	1692	1624	1223	1153	1182	1456	1196	773	1450	1332	390	408	869	653
CDK11A	153	146	167	146	253	243	241	267	171	212	263	200	293	289	168	210	187	172
SLC35E2	672	694	339	345	586	614	496	548	431	613	535	390	567	543	160	163	381	309
NADK	1073	981	874	838	1114	1046	1083	1060	947	1091	1131	880	787	816	832	961	974	872
GNB1	13056	12878	10023	9949	15530	15014	10146	9435	9762	11948	11642	8788	18002	15950	6274	6252	10468	8192
CALML6	3	1	7	6	0	1	2	3	0	0	1	0	6	2	1	2	2	2
TMEM52	53	26	32	38	39	44	23	24	23	19	25	18	36	23	34	42	47	49
KIAA1751	110	136	11	19	14	10	22	25	31	46	0	2	15	9	3	7	13	15
GABRD	30	15	34	32	23	27	11	10	5	10	14	7	9	14	10	8	14	14
PRKCZ	912	983	896	909	1319	1285	445	472	513	699	740	535	1393	1331	395	405	865	617
C1orf86	611	564	630	618	607	696	610	582	508	637	601	420	660	615	398	553	606	494
SKI	1393	1466	1225	1211	1995	1849	1118	1259	1136	1493	1264	1090	1447	1477	727	840	1055	871
MORN1	307	282	161	154	154	198	227	220	187	236	150	89	174	156	79	82	155	119
LOC100129534	57	67	6	5	21	14	56	46	51	61	28	18	24	15	27	20	33	27
RER1	1660	1579	1112	1199	1393	1399	1722	1564	1156	1594	1219	837	1701	1531	985	978	1271	935
PEX10	334	357	285	266	263	285	356	381	318	383	271	220	354	324	209	262	287	219
PLCH2	385	374	505	563	629	544	136	145	142	162	248	169	475	500	28	40	264	218
PANK4	778	719	737	747	928	880	660	695	572	701	680	461	768	792	377	465	570	464
HES5	145	102	311	328	323	303	587	518	374	415	575	478	94	108	117	153	172	131
LOC115110	4	2	2	0	2	1	1	4	2	1	2	3	0	2	4	3	2	0
LOC100133445	1	1	1	0	2	1	1	1	0	1	0	1	0	0	3	3	1	1
TNFRSF14	27	27	18	13	34	19	55	34	34	8	41	31	44	17	26	43	31	22
FAM213B	937	916	640	715	920	900	722	620	617	736	669	465	706	671	302	392	536	447
MMEL1	25	27	54	80	78	84	7	11	15	29	49	18	13	27	7	9	5	3
TTC34	10	9	0	10	2	1	7	8	4	3	2	2	2	5	0	1	0	1
ACTRT2	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	1
LINC00982	524	495	225	215	348	365	179	154	349	423	140	94	265	264	21	35	80	66
PRDM16	900	850	462	475	689	715	381	427	612	758	268	236	424	458	46	59	122	111
MIR4251	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ARHGEF16	81	100	32	34	53	44	169	171	95	109	182	162	63	45	424	486	421	325
MEGF6	353	402	484	481	575	585	209	177	187	208	286	231	322	374	190	219	415	328
MIR551A	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0
