#node1	node2	node1_string_id	node2_string_id	neighborhood_on_chromosome	gene_fusion	phylogenetic_cooccurrence	homology	coexpression	experimentally_determined_interaction	database_annotated	automated_textmining	combined_score
A1BG	CLU	9606.ENSP00000263100	9606.ENSP00000315130	0	0	0	0	0	0	0	0.416	0.416
A1BG	RBP4	9606.ENSP00000263100	9606.ENSP00000360522	0	0	0	0	0.062	0	0	0.432	0.445
ABAT	EFNB2	9606.ENSP00000379845	9606.ENSP00000245323	0	0	0	0	0	0	0	0.435	0.435
ABAT	PPAT	9606.ENSP00000379845	9606.ENSP00000264220	0.047	0	0	0	0.062	0	0	0.683	0.692
ABAT	CKB	9606.ENSP00000379845	9606.ENSP00000299198	0	0	0	0	0.062	0.400	0	0.174	0.494
ABAT	UGDH	9606.ENSP00000379845	9606.ENSP00000319501	0.046	0	0	0	0.062	0	0	0.404	0.420
ABAT	ALDH9A1	9606.ENSP00000379845	9606.ENSP00000346827	0.053	0	0	0	0.110	0.328	0.900	0.189	0.945
ABAT	PGM1	9606.ENSP00000379845	9606.ENSP00000360124	0	0	0	0	0.123	0.745	0	0.085	0.778
ABAT	ACADVL	9606.ENSP00000379845	9606.ENSP00000438689	0.041	0	0	0	0	0	0	0.422	0.422
ABCF1	RPL19	9606.ENSP00000313603	9606.ENSP00000225430	0	0	0	0	0.130	0.212	0.900	0.183	0.936
ABCF1	RPS3	9606.ENSP00000313603	9606.ENSP00000278572	0	0	0	0	0.164	0.369	0	0	0.450
ABCF1	RPS23	9606.ENSP00000313603	9606.ENSP00000296674	0.070	0	0	0	0.109	0.342	0.900	0.223	0.949
ABCF1	EPRS	9606.ENSP00000313603	9606.ENSP00000355890	0.076	0	0	0	0.239	0.157	0	0.110	0.402
ABCF1	RPS15A	9606.ENSP00000313603	9606.ENSP00000318646	0	0	0	0	0.135	0.342	0	0	0.406
ABCF1	RPS7	9606.ENSP00000313603	9606.ENSP00000339095	0	0	0	0	0.147	0.212	0	0.255	0.456
ABCF1	RPL12	9606.ENSP00000313603	9606.ENSP00000354739	0	0	0	0	0.102	0.179	0	0.407	0.524
ABCF1	RPL7A	9606.ENSP00000313603	9606.ENSP00000361076	0	0	0	0	0.126	0.162	0.720	0	0.777
ABCF1	RPL36A	9606.ENSP00000313603	9606.ENSP00000404375	0	0	0	0	0.066	0.176	0.900	0.048	0.916
ABCF1	RPL32	9606.ENSP00000313603	9606.ENSP00000416429	0	0	0	0	0.084	0.231	0.900	0	0.923
