#node1	node2	node1_string_id	node2_string_id	neighborhood_on_chromosome	gene_fusion	phylogenetic_cooccurrence	homology	coexpression	experimentally_determined_interaction	database_annotated	automated_textmining	combined_score
ABAT	ALDH9A1	9606.ENSP00000379845	9606.ENSP00000346827	0.053	0	0	0	0.110	0.328	0.900	0.189	0.945
ABCF1	RPL19	9606.ENSP00000313603	9606.ENSP00000225430	0	0	0	0	0.130	0.212	0.900	0.183	0.936
ABCF1	RPS23	9606.ENSP00000313603	9606.ENSP00000296674	0.070	0	0	0	0.109	0.342	0.900	0.223	0.949
ABCF1	RPL36A	9606.ENSP00000313603	9606.ENSP00000404375	0	0	0	0	0.066	0.176	0.900	0.048	0.916
ABCF1	RPL32	9606.ENSP00000313603	9606.ENSP00000416429	0	0	0	0	0.084	0.231	0.900	0	0.923
ABCF1	RPL30	9606.ENSP00000313603	9606.ENSP00000428085	0	0	0	0	0.109	0.231	0.900	0	0.925
ABCF1	RPS29	9606.ENSP00000313603	9606.ENSP00000379339	0	0	0	0	0.142	0.342	0.900	0	0.938
ABCF1	RPL10A	9606.ENSP00000313603	9606.ENSP00000363018	0	0	0	0	0.163	0.369	0.900	0.054	0.943
ACAP1	GULP1	9606.ENSP00000158762	9606.ENSP00000386289	0	0	0	0	0	0.056	0.900	0.687	0.967
ACTN1	YES1	9606.ENSP00000377941	9606.ENSP00000462468	0	0	0	0	0.049	0.102	0.900	0.107	0.913
ACTN1	LIMS1	9606.ENSP00000377941	9606.ENSP00000446121	0	0	0	0	0.062	0.059	0.900	0.382	0.938
ACTN1	ILK	9606.ENSP00000377941	9606.ENSP00000379975	0	0	0	0	0.065	0.139	0.900	0.545	0.958
ANP32E	ING3	9606.ENSP00000463154	9606.ENSP00000320566	0	0	0	0	0.064	0.282	0.900	0.444	0.957
ARC	FOSB	9606.ENSP00000349022	9606.ENSP00000245919	0	0	0	0	0.064	0	0.900	0.276	0.926
ARC	FOS	9606.ENSP00000349022	9606.ENSP00000306245	0	0	0	0	0.062	0	0.900	0.667	0.966
ATP5I	MT-ATP8	9606.ENSP00000306003	9606.ENSP00000355265	0	0	0	0	0.124	0.856	0.900	0.336	0.990
ATXN7L3	TAF10	9606.ENSP00000397259	9606.ENSP00000299424	0	0	0	0	0.062	0.940	0.900	0.702	0.998
AURKAIP1	MRPL55	9606.ENSP00000342676	9606.ENSP00000403614	0	0	0	0	0.665	0.800	0	0	0.930
B2M	HLA-C	9606.ENSP00000452780	9606.ENSP00000365402	0	0	0	0	0.345	0.981	0.800	0.977	0.999
B2M	HLA-B	9606.ENSP00000452780	9606.ENSP00000399168	0	0	0	0	0.367	0.987	0.800	0.710	0.999
BDNF	NFIC	9606.ENSP00000414303	9606.ENSP00000396843	0	0	0	0	0	0	0.900	0.069	0.902
BDNF	ZNF274	9606.ENSP00000414303	9606.ENSP00000478533	0	0	0	0	0	0	0.900	0.137	0.910
BTG2	FOS	9606.ENSP00000290551	9606.ENSP00000306245	0	0	0	0	0.850	0	0	0.470	0.917
C3orf58	COPG2	9606.ENSP00000320081	9606.ENSP00000402346	0	0	0	0	0	0	0.900	0	0.900
CETN2	PHF21A	9606.ENSP00000359300	9606.ENSP00000398824	0	0	0	0	0	0	0.900	0	0.900
CETN2	MAD1L1	9606.ENSP00000359300	9606.ENSP00000385334	0	0	0	0	0	0	0.900	0.101	0.906
CHD7	SOX2	9606.ENSP00000392028	9606.ENSP00000323588	0	0	0	0	0.085	0.664	0	0.986	0.995
CLU	PLTP	9606.ENSP00000315130	9606.ENSP00000417138	0	0	0	0	0.082	0	0.720	0.835	0.954
COG6	GOSR2	9606.ENSP00000397441	9606.ENSP00000225567	0	0	0	0	0.060	0.115	0.600	0.830	0.936
COG6	STX5	9606.ENSP00000397441	9606.ENSP00000294179	0	0	0	0	0.063	0.162	0.600	0.896	0.963
COG6	VPS53	9606.ENSP00000397441	9606.ENSP00000401435	0	0	0	0	0.147	0.056	0.600	0.809	0.930
COL1A2	PCOLCE	9606.ENSP00000297268	9606.ENSP00000223061	0	0	0	0	0.557	0.151	0.900	0.626	0.984
COL1A2	SPARC	9606.ENSP00000297268	9606.ENSP00000231061	0	0	0	0	0.973	0.239	0	0.563	0.990
COL1A2	POSTN	9606.ENSP00000297268	9606.ENSP00000369071	0	0	0	0	0.738	0.392	0	0.585	0.928
COL2A1	PCOLCE	9606.ENSP00000369889	9606.ENSP00000223061	0	0	0	0	0.079	0.321	0.900	0.101	0.936
CSTF3	SYMPK	9606.ENSP00000315791	9606.ENSP00000245934	0	0	0	0	0.159	0.982	0.600	0.912	0.999
DBI	TSPO	9606.ENSP00000439012	9606.ENSP00000379563	0	0	0	0	0.064	0.285	0	0.980	0.986
DDIT3	FOS	9606.ENSP00000448665	9606.ENSP00000306245	0	0	0	0	0	0.875	0	0.472	0.931
DDIT4	TXNIP	9606.ENSP00000307305	9606.ENSP00000462521	0	0	0	0	0.062	0.270	0	0.986	0.990
DDX18	DDX24	9606.ENSP00000263239	9606.ENSP00000481495	0	0	0.390	0.620	0.855	0.949	0	0.702	0.995
DPAGT1	DPM3	9606.ENSP00000386597	9606.ENSP00000357384	0	0	0	0	0	0	0.900	0.554	0.953
DPAGT1	DPM1	9606.ENSP00000386597	9606.ENSP00000360644	0.184	0	0	0	0.107	0	0.900	0.847	0.987
DPM1	DPM3	9606.ENSP00000360644	9606.ENSP00000357384	0	0	0	0	0.063	0.675	0.900	0.983	0.999
EEF1A1	RPL19	9606.ENSP00000339063	9606.ENSP00000225430	0	0	0.294	0	0.760	0.835	0	0.248	0.976
EEF1A1	RPS12	9606.ENSP00000339063	9606.ENSP00000230050	0	0	0	0	0.837	0.822	0	0.501	0.984
EEF1A1	RPS27A	9606.ENSP00000339063	9606.ENSP00000272317	0	0	0	0	0.740	0.843	0	0.430	0.975
EEF1A1	RPS3	9606.ENSP00000339063	9606.ENSP00000278572	0	0	0.212	0	0.954	0.326	0	0.447	0.984
EEF1A1	RPS23	9606.ENSP00000339063	9606.ENSP00000296674	0.093	0	0.272	0	0.668	0.941	0	0.599	0.993
EEF1A1	RPS9	9606.ENSP00000339063	9606.ENSP00000302896	0	0	0	0	0.782	0.825	0	0.482	0.978
EEF1A1	RPL4	9606.ENSP00000339063	9606.ENSP00000311430	0	0	0	0	0.973	0.903	0	0.606	0.998
EEF1A1	RPS15A	9606.ENSP00000339063	9606.ENSP00000318646	0	0	0.315	0	0.583	0.892	0	0.213	0.972
EEF1A1	RPS29	9606.ENSP00000339063	9606.ENSP00000379339	0	0	0	0	0.419	0.827	0	0.163	0.908
EEF1A1	RPS10	9606.ENSP00000339063	9606.ENSP00000481646	0	0	0	0	0.671	0.829	0	0.235	0.953
EEF1A1	RPL28	9606.ENSP00000339063	9606.ENSP00000452909	0	0	0	0	0.713	0.800	0	0.321	0.957
EEF1A1	RPS7	9606.ENSP00000339063	9606.ENSP00000339095	0	0	0	0	0.738	0.853	0	0.208	0.967
EEF1A1	RPL10A	9606.ENSP00000339063	9606.ENSP00000363018	0	0	0	0	0.605	0.901	0	0.260	0.968
EEF1A1	RPL26	9606.ENSP00000339063	9606.ENSP00000463784	0	0	0.353	0	0.683	0.829	0	0.221	0.969
EEF1A1	RPL32	9606.ENSP00000339063	9606.ENSP00000416429	0	0	0	0	0.650	0.856	0	0.510	0.973
EEF1A1	RPL10	9606.ENSP00000339063	9606.ENSP00000413436	0	0	0	0	0.792	0.826	0	0.473	0.979
EEF1A1	RPL30	9606.ENSP00000339063	9606.ENSP00000428085	0.148	0	0	0	0.776	0.908	0	0.261	0.985
EEF1A1	RPS6	9606.ENSP00000339063	9606.ENSP00000369757	0	0	0	0	0.853	0.896	0	0.451	0.990
EEF1A1	RPL7A	9606.ENSP00000339063	9606.ENSP00000361076	0	0	0	0	0.876	0.935	0	0.341	0.994
EEF1A1	RPL7	9606.ENSP00000339063	9606.ENSP00000339795	0	0	0	0	0.841	0.895	0	0.742	0.995
EEF1A1	RPS8	9606.ENSP00000339063	9606.ENSP00000379888	0	0	0	0	0.895	0.936	0	0.351	0.995
EEF1A1	RPS4X	9606.ENSP00000339063	9606.ENSP00000362744	0	0	0.264	0	0.905	0.906	0	0.334	0.995
EEF1A1	RPL12	9606.ENSP00000339063	9606.ENSP00000354739	0	0	0	0	0.789	0.899	0	0.832	0.996
EEF1A1	EEF1D	9606.ENSP00000339063	9606.ENSP00000410059	0	0	0	0	0.199	0.838	0.900	0.861	0.997
EEF1A1	RPSA	9606.ENSP00000339063	9606.ENSP00000346067	0	0	0.255	0	0.938	0.903	0	0.457	0.997
EEF1A1	RPS3A	9606.ENSP00000339063	9606.ENSP00000346050	0	0	0	0	0.931	0.939	0	0.526	0.997
EEF1A1	EEF1B2	9606.ENSP00000339063	9606.ENSP00000376056	0	0	0	0	0.733	0.959	0.900	0.992	0.999
EEF1B2	RPL19	9606.ENSP00000376056	9606.ENSP00000225430	0	0	0	0	0.924	0.885	0	0.157	0.992
EEF1B2	RPS12	9606.ENSP00000376056	9606.ENSP00000230050	0	0	0	0	0.920	0.789	0	0.327	0.987
EEF1B2	RPS27A	9606.ENSP00000376056	9606.ENSP00000272317	0	0	0	0	0.933	0.900	0	0.107	0.993
EEF1B2	RPS3	9606.ENSP00000376056	9606.ENSP00000278572	0.153	0	0	0	0.972	0.885	0	0.227	0.997
EEF1B2	RPS23	9606.ENSP00000376056	9606.ENSP00000296674	0	0	0	0	0.896	0.892	0	0.115	0.989
EEF1B2	RPS9	9606.ENSP00000376056	9606.ENSP00000302896	0	0	0	0	0.925	0.892	0	0.327	0.994
EEF1B2	RPL4	9606.ENSP00000376056	9606.ENSP00000311430	0	0	0	0	0.978	0.893	0	0.241	0.998
EEF1B2	RPS15A	9606.ENSP00000376056	9606.ENSP00000318646	0	0	0	0	0.944	0.365	0	0.094	0.965
EEF1B2	RPS7	9606.ENSP00000376056	9606.ENSP00000339095	0	0	0	0	0.959	0.900	0	0.187	0.996
EEF1B2	RPL7	9606.ENSP00000376056	9606.ENSP00000339795	0	0	0	0	0.903	0.894	0	0.217	0.991
EEF1B2	RPLP1	9606.ENSP00000376056	9606.ENSP00000346037	0.045	0	0	0	0.886	0.932	0	0.246	0.993
EEF1B2	RPS3A	9606.ENSP00000376056	9606.ENSP00000346050	0	0	0	0	0.956	0.887	0	0.087	0.995
EEF1B2	RPSA	9606.ENSP00000376056	9606.ENSP00000346067	0	0	0	0	0.921	0.769	0	0.426	0.988
EEF1B2	RPL12	9606.ENSP00000376056	9606.ENSP00000354739	0	0	0	0	0.963	0.871	0	0.341	0.996
EEF1B2	RPL7A	9606.ENSP00000376056	9606.ENSP00000361076	0	0	0	0	0.939	0.880	0	0.209	0.993
EEF1B2	RPS4X	9606.ENSP00000376056	9606.ENSP00000362744	0	0	0	0	0.951	0.788	0	0.290	0.992
EEF1B2	RPL10A	9606.ENSP00000376056	9606.ENSP00000363018	0.042	0	0	0	0.974	0.056	0	0.285	0.981
EEF1B2	RPS6	9606.ENSP00000376056	9606.ENSP00000369757	0	0	0	0	0.946	0	0	0.209	0.955
EEF1B2	RPL10	9606.ENSP00000376056	9606.ENSP00000413436	0	0	0	0	0.735	0.760	0	0.283	0.950
EEF1B2	RPS29	9606.ENSP00000376056	9606.ENSP00000379339	0	0	0	0	0.843	0.758	0	0.074	0.961
EEF1B2	RPL26	9606.ENSP00000376056	9606.ENSP00000463784	0	0	0	0	0.962	0.348	0	0.094	0.975
EEF1B2	RPL30	9606.ENSP00000376056	9606.ENSP00000428085	0	0	0	0	0.960	0.350	0	0.190	0.977
EEF1B2	RPS10	9606.ENSP00000376056	9606.ENSP00000481646	0	0	0	0	0.914	0.667	0	0.395	0.981
EEF1B2	RPS8	9606.ENSP00000376056	9606.ENSP00000379888	0	0	0	0	0.957	0.614	0	0.224	0.986
EEF1B2	RPL32	9606.ENSP00000376056	9606.ENSP00000416429	0	0	0	0	0.862	0.896	0	0.203	0.987
EEF1B2	RPL14	9606.ENSP00000376056	9606.ENSP00000379506	0	0	0	0	0.924	0.898	0	0.131	0.992
EEF1B2	EEF1D	9606.ENSP00000376056	9606.ENSP00000410059	0	0	0	0.940	0.593	0.968	0.800	0.956	0.997
EEF1D	RPL19	9606.ENSP00000410059	9606.ENSP00000225430	0	0	0	0	0.808	0.760	0	0.090	0.954
EEF1D	RPS3	9606.ENSP00000410059	9606.ENSP00000278572	0.153	0	0	0	0.816	0.758	0	0.169	0.964
EEF1D	RPS23	9606.ENSP00000410059	9606.ENSP00000296674	0	0	0	0	0.796	0.615	0	0.142	0.926
EEF1D	RPS9	9606.ENSP00000410059	9606.ENSP00000302896	0	0	0	0	0.717	0.615	0	0.266	0.913
EEF1D	RPL4	9606.ENSP00000410059	9606.ENSP00000311430	0	0	0	0	0.744	0.789	0	0.232	0.955
EEF1D	RPS7	9606.ENSP00000410059	9606.ENSP00000339095	0	0	0	0	0.835	0.760	0	0.188	0.965
EEF1D	RPL7	9606.ENSP00000410059	9606.ENSP00000339795	0	0	0	0	0.618	0.789	0	0.115	0.922
EEF1D	RPLP1	9606.ENSP00000410059	9606.ENSP00000346037	0.045	0	0	0	0.838	0.656	0	0.119	0.947
EEF1D	RPS3A	9606.ENSP00000410059	9606.ENSP00000346050	0	0	0	0	0.773	0.611	0	0.082	0.911
EEF1D	RPS4X	9606.ENSP00000410059	9606.ENSP00000362744	0	0	0	0	0.813	0.758	0	0.096	0.955
EEF1D	RPL10A	9606.ENSP00000410059	9606.ENSP00000363018	0.042	0	0	0	0.889	0.056	0	0.195	0.908
EEF1D	RPS29	9606.ENSP00000410059	9606.ENSP00000379339	0	0	0	0	0.804	0.789	0	0.081	0.958
EEF1D	RPS8	9606.ENSP00000410059	9606.ENSP00000379888	0	0	0	0	0.773	0.761	0	0.146	0.949
EEF1D	RPS10	9606.ENSP00000410059	9606.ENSP00000481646	0	0	0	0	0.818	0.339	0	0.275	0.905
