	label	#node1	node2	node1_string_id	node2_string_id	neighborhood_on_chromosome	gene_fusion	phylogenetic_cooccurrence	homology	coexpression	experimentally_determined_interaction	database_annotated	automated_textmining	combined_score
0	1	ADM	CALCA	9606.ENSP00000436607	9606.ENSP00000331746	0	0	0.0	0.0	0.0	0.0	0.9	0.831	0.982
1	1	AHSP	HBG2	9606.ENSP00000307199	9606.ENSP00000338082	0	0	0.0	0.0	0.638	0.0	0.54	0.463	0.902
2	1	CCL2	CSF3	9606.ENSP00000225831	9606.ENSP00000225474	0	0	0.0	0.0	0.146	0.0	0.4	0.875	0.93
3	1	CCL2	IFNG	9606.ENSP00000225831	9606.ENSP00000229135	0	0	0.0	0.0	0.195	0.0	0.0	0.926	0.938
4	1	CCL2	IL1B	9606.ENSP00000225831	9606.ENSP00000263341	0	0	0.0	0.0	0.239	0.0	0.4	0.94	0.97
5	1	CCL2	CCL20	9606.ENSP00000225831	9606.ENSP00000351671	0	0	0.0	0.0	0.148	0.0	0.4	0.962	0.979
6	1	CCL2	IL6	9606.ENSP00000225831	9606.ENSP00000385675	0	0	0.0	0.0	0.517	0.0	0.4	0.953	0.985
7	1	CCL2	CXCR1	9606.ENSP00000225831	9606.ENSP00000295683	0	0	0.0	0.0	0.0	0.0	0.65	0.989	0.996
8	1	CCL2	CXCR2	9606.ENSP00000225831	9606.ENSP00000319635	0	0	0.0	0.0	0.0	0.0	0.65	0.994	0.997
9	1	CCL2	CCL8	9606.ENSP00000225831	9606.ENSP00000378118	0	0	0.052	0.966	0.781	0.994	0.0	0.869	0.999
10	1	CCL20	IL1B	9606.ENSP00000351671	9606.ENSP00000263341	0	0	0.0	0.0	0.338	0.0	0.4	0.903	0.958
11	1	CCL20	CXCL11	9606.ENSP00000351671	9606.ENSP00000306884	0	0	0.0	0.0	0.1	0.994	0.5	0.72	0.999
12	1	CCL20	CXCR2	9606.ENSP00000351671	9606.ENSP00000319635	0	0	0.0	0.0	0.0	0.0	0.65	0.861	0.949
13	1	CCL20	IL6	9606.ENSP00000351671	9606.ENSP00000385675	0	0	0.0	0.0	0.332	0.0	0.4	0.852	0.935
14	1	CCL8	CXCL11	9606.ENSP00000378118	9606.ENSP00000306884	0	0	0.0	0.0	0.516	0.994	0.0	0.79	0.999
15	1	CCL8	CXCR2	9606.ENSP00000378118	9606.ENSP00000319635	0	0	0.0	0.0	0.068	0.0	0.65	0.837	0.942
16	1	CD14	TLR2	9606.ENSP00000385519	9606.ENSP00000260010	0	0	0.0	0.0	0.485	0.541	0.9	0.706	0.992
17	1	CDK2	SFN	9606.ENSP00000266970	9606.ENSP00000340989	0	0	0.0	0.0	0.109	0.07	0.0	0.933	0.94
18	1	CDK2	CDKN1A	9606.ENSP00000266970	9606.ENSP00000384849	0	0	0.0	0.0	0.085	0.994	0.9	0.999	0.999
19	1	CP	SERPINA1	9606.ENSP00000264613	9606.ENSP00000416066	0	0	0.0	0.0	0.128	0.238	0.0	0.923	0.944
20	1	CSF3	IL6	9606.ENSP00000225474	9606.ENSP00000385675	0	0	0.0	0.0	0.369	0.0	0.4	0.972	0.988
21	1	CSF3	IFNG	9606.ENSP00000225474	9606.ENSP00000229135	0	0	0.0	0.0	0.098	0.0	0.0	0.988	0.989
22	1	CSF3	IL1B	9606.ENSP00000225474	9606.ENSP00000263341	0	0	0.0	0.0	0.239	0.0	0.4	0.993	0.996
23	1	CXCL11	CXCR1	9606.ENSP00000306884	9606.ENSP00000295683	0	0	0.0	0.0	0.087	0.0	0.65	0.713	0.9
24	1	CXCL11	CXCR2	9606.ENSP00000306884	9606.ENSP00000319635	0	0	0.0	0.0	0.088	0.0	0.65	0.833	0.942
25	1	CXCR1	CXCR2	9606.ENSP00000295683	9606.ENSP00000319635	0	0	0.052	0.976	0.771	0.0	0.9	0.98	0.999
26	1	FCGR1A	FCGR2A	9606.ENSP00000358165	9606.ENSP00000271450	0	0	0.0	0.801	0.238	0.0	0.4	0.846	0.923
27	1	FPR1	FPR2	9606.ENSP00000471493	9606.ENSP00000468897	0	0	0.055	0.97	0.766	0.0	0.9	0.392	0.984
28	1	HAMP	IL6	9606.ENSP00000471894	9606.ENSP00000385675	0	0	0.0	0.0	0.055	0.0	0.0	0.927	0.928
29	1	IFNG	TLR2	9606.ENSP00000229135	9606.ENSP00000260010	0	0	0.0	0.0	0.06	0.0	0.0	0.916	0.918
30	1	IFNG	IL4R	9606.ENSP00000229135	9606.ENSP00000379111	0	0	0.207	0.0	0.049	0.0	0.65	0.876	0.962
31	1	IFNG	IL2RA	9606.ENSP00000229135	9606.ENSP00000369293	0	0	0.0	0.0	0.382	0.0	0.65	0.86	0.967
32	1	IFNG	IL6	9606.ENSP00000229135	9606.ENSP00000385675	0	0	0.0	0.0	0.128	0.0	0.0	0.981	0.983
