#node1	node2	node1_string_id	node2_string_id	neighborhood_on_chromosome	gene_fusion	phylogenetic_cooccurrence	homology	coexpression	experimentally_determined_interaction	database_annotated	automated_textmining	combined_score
AADACL4	LY6G6C	9606.ENSP00000365395	9606.ENSP00000364978	0	0	0	0	0	0	0	0.187	0.187
ACTA1	TIMP1	9606.ENSP00000355645	9606.ENSP00000218388	0	0	0	0	0.062	0	0	0.356	0.370
ACTA1	SERPINE1	9606.ENSP00000355645	9606.ENSP00000223095	0	0	0	0	0.062	0	0	0.223	0.240
ACTA1	CCL2	9606.ENSP00000355645	9606.ENSP00000225831	0	0	0	0	0	0	0	0.318	0.318
ACTA1	COL1A1	9606.ENSP00000355645	9606.ENSP00000225964	0	0	0	0	0.062	0	0	0.550	0.560
ACTA1	LOX	9606.ENSP00000355645	9606.ENSP00000231004	0	0	0	0	0.062	0	0	0.301	0.316
ACTA1	LIF	9606.ENSP00000355645	9606.ENSP00000249075	0	0	0	0	0	0	0	0.221	0.221
ACTA1	CHI3L1	9606.ENSP00000355645	9606.ENSP00000255409	0	0	0	0	0	0.146	0	0.048	0.152
ACTA1	MYBPH	9606.ENSP00000355645	9606.ENSP00000255416	0	0	0	0	0.090	0	0	0.368	0.400
ACTA1	FABP4	9606.ENSP00000355645	9606.ENSP00000256104	0	0	0	0	0.062	0	0	0.135	0.154
ACTA1	MYO1G	9606.ENSP00000355645	9606.ENSP00000258787	0	0	0	0	0.082	0.344	0	0.101	0.411
ACTA1	TLR2	9606.ENSP00000355645	9606.ENSP00000260010	0	0	0	0	0	0.122	0	0.181	0.251
ACTA1	THBS1	9606.ENSP00000355645	9606.ENSP00000260356	0	0	0	0	0.062	0	0	0.219	0.237
ACTA1	IL1B	9606.ENSP00000355645	9606.ENSP00000263341	0	0	0	0	0	0	0	0.335	0.335
ACTA1	CP	9606.ENSP00000355645	9606.ENSP00000264613	0	0	0	0	0	0	0	0.315	0.315
ACTA1	UNC45B	9606.ENSP00000355645	9606.ENSP00000268876	0	0	0	0	0.135	0.213	0	0.222	0.424
ACTA1	WNT3A	9606.ENSP00000355645	9606.ENSP00000284523	0	0	0	0	0	0	0	0.191	0.191
ACTA1	KLHL40	9606.ENSP00000355645	9606.ENSP00000287777	0	0	0	0	0.147	0.182	0	0.600	0.696
ACTA1	ITGA5	9606.ENSP00000355645	9606.ENSP00000293379	0	0	0	0	0.062	0	0	0.188	0.205
ACTA1	PDPN	9606.ENSP00000355645	9606.ENSP00000294489	0	0	0	0	0	0	0	0.222	0.222
ACTA1	RRAD	9606.ENSP00000355645	9606.ENSP00000299759	0	0	0	0	0.063	0.104	0	0.088	0.167
ACTA1	ANGPTL4	9606.ENSP00000355645	9606.ENSP00000301455	0	0	0	0	0.062	0	0	0.132	0.151
ACTA1	ZFP42	9606.ENSP00000355645	9606.ENSP00000317686	0	0	0	0	0.062	0.075	0	0.170	0.217
ACTA1	TNFRSF12A	9606.ENSP00000355645	9606.ENSP00000326737	0	0	0	0	0.049	0	0	0.178	0.184
ACTA1	RIPK4	9606.ENSP00000355645	9606.ENSP00000332454	0	0	0	0	0.053	0.158	0	0.055	0.180
ACTA1	UBL4B	9606.ENSP00000355645	9606.ENSP00000334044	0	0	0	0	0	0.141	0	0.060	0.158
ACTA1	SFN	9606.ENSP00000355645	9606.ENSP00000340989	0	0	0	0	0.063	0.103	0	0.113	0.189
ACTA1	ARID5A	9606.ENSP00000355645	9606.ENSP00000350078	0	0	0	0	0	0.227	0	0.085	0.262
ACTA1	MYBPC2	9606.ENSP00000355645	9606.ENSP00000350332	0	0	0	0	0.168	0	0	0.402	0.481
ACTA1	TEAD4	9606.ENSP00000355645	9606.ENSP00000352926	0	0	0	0	0.063	0.104	0	0.079	0.159
ACTA1	ZFP36	9606.ENSP00000355645	9606.ENSP00000469647	0	0	0	0	0	0.151	0	0	0.150
ACTA1	CASZ1	9606.ENSP00000355645	9606.ENSP00000366221	0	0	0	0	0	0	0	0.151	0.151
ACTA1	MYOM3	9606.ENSP00000355645	9606.ENSP00000363557	0	0	0	0	0.065	0	0	0.153	0.175
ACTA1	CHI3L2	9606.ENSP00000355645	9606.ENSP00000437082	0	0	0	0	0	0.146	0	0.074	0.175
ACTA1	S100A8	9606.ENSP00000355645	9606.ENSP00000357722	0	0	0	0	0	0	0	0.187	0.187
ACTA1	TGFBI	9606.ENSP00000355645	9606.ENSP00000416330	0	0	0	0	0	0	0	0.190	0.190
ACTA1	SERPINA1	9606.ENSP00000355645	9606.ENSP00000416066	0	0	0	0	0	0	0	0.207	0.207
ACTA1	SERPINH1	9606.ENSP00000355645	9606.ENSP00000434412	0	0	0	0	0.062	0	0	0.192	0.210
ACTA1	VDR	9606.ENSP00000355645	9606.ENSP00000447173	0	0	0	0	0	0.145	0	0.123	0.218
ACTA1	COL4A1	9606.ENSP00000355645	9606.ENSP00000364979	0	0	0	0	0.062	0	0	0.237	0.254
ACTA1	DES	9606.ENSP00000355645	9606.ENSP00000363071	0	0	0	0	0.139	0.145	0	0.075	0.260
ACTA1	CDKN1A	9606.ENSP00000355645	9606.ENSP00000384849	0	0	0	0	0	0	0	0.284	0.284
ACTA1	CD44	9606.ENSP00000355645	9606.ENSP00000398632	0	0	0	0	0	0	0	0.320	0.320
ACTA1	ANKRD1	9606.ENSP00000355645	9606.ENSP00000360762	0	0	0	0	0.081	0.103	0	0.302	0.374
ACTA1	IL6	9606.ENSP00000355645	9606.ENSP00000385675	0	0	0	0	0	0	0	0.376	0.376
ACTA1	MYC	9606.ENSP00000355645	9606.ENSP00000479618	0	0	0	0	0.049	0.056	0	0.362	0.378
ACTA1	ANXA8	9606.ENSP00000355645	9606.ENSP00000478026	0	0	0	0	0.048	0.441	0	0.321	0.607
ACTA1	ACTG2	9606.ENSP00000355645	9606.ENSP00000386857	0	0	0	0.987	0	0.800	0	0.394	0.800
ACTA1	VEGFA	9606.ENSP00000355645	9606.ENSP00000478570	0	0	0	0	0	0	0.900	0.322	0.929
ACTG2	TIMP1	9606.ENSP00000386857	9606.ENSP00000218388	0	0	0	0	0.062	0	0	0.262	0.279
ACTG2	SERPINE1	9606.ENSP00000386857	9606.ENSP00000223095	0	0	0	0	0.083	0	0	0.182	0.218
ACTG2	CCL2	9606.ENSP00000386857	9606.ENSP00000225831	0	0	0	0	0	0	0	0.190	0.190
ACTG2	COL1A1	9606.ENSP00000386857	9606.ENSP00000225964	0	0	0	0	0.154	0	0	0.321	0.401
ACTG2	LOX	9606.ENSP00000386857	9606.ENSP00000231004	0	0	0	0	0.091	0	0	0.171	0.214
ACTG2	CHI3L1	9606.ENSP00000386857	9606.ENSP00000255409	0	0	0	0	0	0.146	0	0.063	0.166
ACTG2	MYBPH	9606.ENSP00000386857	9606.ENSP00000255416	0	0	0	0	0.090	0	0	0.226	0.265
ACTG2	MYO1G	9606.ENSP00000386857	9606.ENSP00000258787	0	0	0	0	0.082	0.344	0	0.101	0.411
ACTG2	TLR2	9606.ENSP00000386857	9606.ENSP00000260010	0	0	0	0	0	0.122	0	0.091	0.168
ACTG2	THBS1	9606.ENSP00000386857	9606.ENSP00000260356	0	0	0	0	0.089	0	0	0.173	0.215
ACTG2	IL1B	9606.ENSP00000386857	9606.ENSP00000263341	0	0	0	0	0	0	0	0.222	0.222
ACTG2	UNC45B	9606.ENSP00000386857	9606.ENSP00000268876	0	0	0	0	0.109	0.213	0	0.242	0.422
ACTG2	KLHL40	9606.ENSP00000386857	9606.ENSP00000287777	0	0	0	0	0.063	0.145	0	0	0.164
ACTG2	PDPN	9606.ENSP00000386857	9606.ENSP00000294489	0	0	0	0	0.062	0	0	0.188	0.205
ACTG2	RRAD	9606.ENSP00000386857	9606.ENSP00000299759	0	0	0	0	0.063	0.104	0	0.087	0.167
ACTG2	ZFP42	9606.ENSP00000386857	9606.ENSP00000317686	0	0	0	0	0.062	0.075	0	0.141	0.189
ACTG2	RIPK4	9606.ENSP00000386857	9606.ENSP00000332454	0	0	0	0	0.053	0.158	0	0.096	0.216
ACTG2	UBL4B	9606.ENSP00000386857	9606.ENSP00000334044	0	0	0	0	0	0.141	0	0.060	0.158
ACTG2	SFN	9606.ENSP00000386857	9606.ENSP00000340989	0	0	0	0	0.063	0.103	0	0.112	0.189
ACTG2	ARID5A	9606.ENSP00000386857	9606.ENSP00000350078	0	0	0	0	0	0.227	0	0.085	0.262
ACTG2	TEAD4	9606.ENSP00000386857	9606.ENSP00000352926	0	0	0	0	0.063	0.104	0	0.079	0.159
ACTG2	GADD45A	9606.ENSP00000386857	9606.ENSP00000360025	0	0	0	0	0	0	0	0.272	0.272
ACTG2	ANKRD1	9606.ENSP00000386857	9606.ENSP00000360762	0	0	0	0	0.081	0.103	0	0.146	0.235
ACTG2	DES	9606.ENSP00000386857	9606.ENSP00000363071	0	0	0	0	0.199	0.145	0	0.075	0.311
ACTG2	COL4A1	9606.ENSP00000386857	9606.ENSP00000364979	0	0	0	0	0.110	0	0	0.155	0.216
ACTG2	IL6	9606.ENSP00000386857	9606.ENSP00000385675	0	0	0	0	0	0	0	0.236	0.236
ACTG2	ZFP36	9606.ENSP00000386857	9606.ENSP00000469647	0	0	0	0	0	0.151	0	0	0.150
ACTG2	CD44	9606.ENSP00000386857	9606.ENSP00000398632	0	0	0	0	0	0	0	0.159	0.159
ACTG2	VDR	9606.ENSP00000386857	9606.ENSP00000447173	0	0	0	0	0	0.145	0	0.085	0.184
