#node1	node2	node1_string_id	node2_string_id	neighborhood_on_chromosome	gene_fusion	phylogenetic_cooccurrence	homology	coexpression	experimentally_determined_interaction	database_annotated	automated_textmining	combined_score
ABCA4	RPE65	9606.ENSP00000359245	9606.ENSP00000262340	0	0	0	0	0.049	0	0	0.808	0.809
AGTR1	AGTR2	9606.ENSP00000419422	9606.ENSP00000360973	0	0	0	0.844	0.062	0	0.800	0.906	0.831
AGTR2	CHRM1	9606.ENSP00000360973	9606.ENSP00000306490	0	0	0	0	0.062	0	0.900	0.048	0.902
AMBN	ODAM	9606.ENSP00000313809	9606.ENSP00000379401	0	0	0	0	0	0	0	0.831	0.831
CHRM1	LAMB1	9606.ENSP00000306490	9606.ENSP00000222399	0	0	0	0	0.062	0	0.900	0	0.902
DKK2	WIF1	9606.ENSP00000285311	9606.ENSP00000286574	0	0	0	0	0.062	0	0	0.731	0.737
EMX1	FOXG1	9606.ENSP00000258106	9606.ENSP00000339004	0	0	0	0	0.108	0.068	0	0.742	0.767
EMX1	TBR1	9606.ENSP00000258106	9606.ENSP00000374205	0	0	0	0	0.125	0.104	0	0.786	0.818
EMX2	FOXG1	9606.ENSP00000450962	9606.ENSP00000339004	0	0	0	0	0.089	0.068	0	0.781	0.798
EMX2	TBR1	9606.ENSP00000450962	9606.ENSP00000374205	0	0	0	0	0.145	0.104	0	0.662	0.718
FCER1A	LCP2	9606.ENSP00000357097	9606.ENSP00000046794	0	0	0	0	0.281	0	0.900	0.398	0.952
FEZF2	OTP	9606.ENSP00000283268	9606.ENSP00000302814	0	0	0	0	0.146	0.058	0	0.668	0.709
FEZF2	TBR1	9606.ENSP00000283268	9606.ENSP00000374205	0	0	0	0	0.101	0.058	0	0.798	0.814
FOXD3	TFAP2A	9606.ENSP00000360157	9606.ENSP00000368924	0	0	0	0	0.062	0.068	0	0.814	0.823
FOXG1	TBR1	9606.ENSP00000339004	9606.ENSP00000374205	0	0	0	0	0.169	0.062	0	0.741	0.781
GBP1	OAS2	9606.ENSP00000359504	9606.ENSP00000342278	0	0	0	0	0.397	0	0	0.600	0.748
GC	TTR	9606.ENSP00000421725	9606.ENSP00000237014	0	0	0	0	0.661	0.175	0	0.667	0.899
GPNMB	TYRP1	9606.ENSP00000371420	9606.ENSP00000373570	0	0	0	0	0.126	0	0	0.701	0.728
GREM1	KDR	9606.ENSP00000478319	9606.ENSP00000263923	0	0	0	0	0	0.417	0	0.906	0.942
HBD	HBE1	9606.ENSP00000369654	9606.ENSP00000369586	0	0	0	0.974	0.137	0	0.900	0.810	0.911
HBE1	TYR	9606.ENSP00000369586	9606.ENSP00000263321	0	0	0	0	0.729	0	0	0.064	0.735
HOXA4	HOXA5	9606.ENSP00000353151	9606.ENSP00000222726	0	0	0	0.828	0.569	0.397	0	0.809	0.766
HOXA5	HOXB2	9606.ENSP00000222726	9606.ENSP00000331741	0	0	0	0.713	0.101	0.697	0	0.776	0.778
HOXA5	HOXD4	9606.ENSP00000222726	9606.ENSP00000302548	0	0	0	0.835	0.103	0.800	0	0.596	0.830
HOXA5	HOXC5	9606.ENSP00000222726	9606.ENSP00000309336	0	0	0	0.908	0.162	0.800	0	0.750	0.837
HOXA5	HOXB6	9606.ENSP00000222726	9606.ENSP00000420009	0	0	0	0.859	0.237	0.800	0	0.669	0.855
HOXA5	HOXB7	9606.ENSP00000222726	9606.ENSP00000239165	0	0	0	0.846	0.120	0.822	0	0.880	0.859
HOXA5	HOXB4	9606.ENSP00000222726	9606.ENSP00000328928	0	0	0	0.844	0.234	0.811	0	0.793	0.868
HOXA5	HOXC4	9606.ENSP00000222726	9606.ENSP00000399808	0	0	0	0.839	0.240	0.811	0	0.804	0.870
HOXA5	HOXA7	9606.ENSP00000222726	9606.ENSP00000242159	0	0	0	0.841	0.355	0.800	0	0.811	0.882
HOXA5	HOXA6	9606.ENSP00000222726	9606.ENSP00000222728	0	0	0	0.842	0.362	0.800	0	0.789	0.883
HOXA5	HOXB5	9606.ENSP00000222726	9606.ENSP00000239151	0	0	0	0.956	0.435	0.800	0	0.717	0.885
HOXA6	HOXB7	9606.ENSP00000222728	9606.ENSP00000239165	0	0	0	0.845	0.098	0.800	0	0.504	0.826
HOXA6	HOXB6	9606.ENSP00000222728	9606.ENSP00000420009	0	0	0	0.943	0.143	0.800	0	0.650	0.827
HOXA6	HOXC5	9606.ENSP00000222728	9606.ENSP00000309336	0	0	0	0.830	0.109	0.800	0	0.559	0.831
HOXA6	HOXD4	9606.ENSP00000222728	9606.ENSP00000302548	0	0	0	0.817	0.108	0.800	0	0.531	0.831
HOXA6	HOXC4	9606.ENSP00000222728	9606.ENSP00000399808	0	0	0	0.810	0.121	0.800	0	0.585	0.836
HOXA6	HOXB4	9606.ENSP00000222728	9606.ENSP00000328928	0	0	0	0.809	0.122	0.800	0	0.616	0.837
HOXA6	HOXB5	9606.ENSP00000222728	9606.ENSP00000239151	0	0	0	0.835	0.140	0.800	0	0.580	0.837
HOXA6	HOXA7	9606.ENSP00000222728	9606.ENSP00000242159	0	0	0	0.830	0.387	0.800	0	0.814	0.889
HOXA7	HOXB5	9606.ENSP00000242159	9606.ENSP00000239151	0	0	0	0.841	0.190	0.800	0	0.636	0.847
HOXA7	HOXB7	9606.ENSP00000242159	9606.ENSP00000239165	0	0	0	0.949	0.139	0.800	0	0.681	0.826
HOXA7	HOXC4	9606.ENSP00000242159	9606.ENSP00000399808	0	0	0	0.826	0.119	0.800	0	0.565	0.833
HOXA7	HOXC5	9606.ENSP00000242159	9606.ENSP00000309336	0	0	0	0.823	0.127	0.800	0	0.566	0.835
HOXA7	HOXD4	9606.ENSP00000242159	9606.ENSP00000302548	0	0	0	0.813	0.139	0.800	0	0.603	0.840
HOXA7	HOXB4	9606.ENSP00000242159	9606.ENSP00000328928	0	0	0	0.812	0.143	0.800	0	0.625	0.841
