#node1	node2	node1_string_id	node2_string_id	neighborhood_on_chromosome	gene_fusion	phylogenetic_cooccurrence	homology	coexpression	experimentally_determined_interaction	database_annotated	automated_textmining	combined_score
AGTR2	CHRM1	9606.ENSP00000360973	9606.ENSP00000306490	0	0	0	0	0.062	0	0.900	0.048	0.902
CHRM1	LAMB1	9606.ENSP00000306490	9606.ENSP00000222399	0	0	0	0	0.062	0	0.900	0	0.902
FCER1A	LCP2	9606.ENSP00000357097	9606.ENSP00000046794	0	0	0	0	0.281	0	0.900	0.398	0.952
GREM1	KDR	9606.ENSP00000478319	9606.ENSP00000263923	0	0	0	0	0	0.417	0	0.906	0.942
HBD	HBE1	9606.ENSP00000369654	9606.ENSP00000369586	0	0	0	0.974	0.137	0	0.900	0.810	0.911
HOXB5	HOXB6	9606.ENSP00000239151	9606.ENSP00000420009	0	0	0	0.855	0.699	0.800	0	0.802	0.944
HOXC4	HOXC5	9606.ENSP00000399808	9606.ENSP00000309336	0	0	0	0.831	0.491	0.800	0	0.887	0.909
MITF	TYR	9606.ENSP00000295600	9606.ENSP00000263321	0	0	0	0	0.178	0.182	0	0.905	0.930
MITF	TYRP1	9606.ENSP00000295600	9606.ENSP00000373570	0	0	0	0	0.136	0	0	0.894	0.905
PAX2	TLX1	9606.ENSP00000359319	9606.ENSP00000359215	0	0	0	0	0	0.076	0	0.958	0.961
SLC17A7	SLC18A3	9606.ENSP00000221485	9606.ENSP00000363229	0	0	0	0	0.069	0	0.800	0.835	0.966
SLC18A3	SLC5A7	9606.ENSP00000363229	9606.ENSP00000264047	0	0	0	0	0.489	0	0	0.887	0.940
