#node1	node2	node1_string_id	node2_string_id	neighborhood_on_chromosome	gene_fusion	phylogenetic_cooccurrence	homology	coexpression	experimentally_determined_interaction	database_annotated	automated_textmining	combined_score
ABCC6	SLC22A3	9606.ENSP00000205557	9606.ENSP00000275300	0	0	0	0	0.062	0.064	0	0.377	0.405
ABI3BP	OGN	9606.ENSP00000284322	9606.ENSP00000262551	0	0	0	0	0.225	0	0	0.264	0.405
ABI3BP	ECM2	9606.ENSP00000284322	9606.ENSP00000344758	0	0	0	0	0.150	0	0	0.341	0.416
ABI3BP	OLFML2A	9606.ENSP00000284322	9606.ENSP00000362682	0	0	0	0	0.062	0	0	0.450	0.462
ACADL	PCK1	9606.ENSP00000233710	9606.ENSP00000319814	0	0	0	0	0.062	0	0	0.526	0.536
ACP5	COL1A1	9606.ENSP00000468767	9606.ENSP00000225964	0	0	0	0	0	0	0	0.510	0.510
ACP5	SOST	9606.ENSP00000468767	9606.ENSP00000301691	0	0	0	0	0.062	0	0	0.706	0.712
ACP5	SPP1	9606.ENSP00000468767	9606.ENSP00000378517	0	0	0	0	0.062	0.296	0	0.683	0.772
ADAMTS1	TFPI2	9606.ENSP00000284984	9606.ENSP00000222543	0	0	0	0	0.107	0	0	0.452	0.490
ADAMTS1	COL2A1	9606.ENSP00000284984	9606.ENSP00000369889	0	0	0	0	0.060	0.077	0	0.407	0.441
ADAMTS1	SERPINH1	9606.ENSP00000284984	9606.ENSP00000434412	0	0	0	0	0.118	0	0	0.432	0.478
ADAMTS1	FN1	9606.ENSP00000284984	9606.ENSP00000346839	0	0	0	0	0.155	0	0	0.442	0.508
ADAMTS1	MMP14	9606.ENSP00000284984	9606.ENSP00000308208	0	0	0	0	0.106	0.066	0	0.485	0.533
ADAMTS1	COL6A2	9606.ENSP00000284984	9606.ENSP00000300527	0	0	0	0	0.153	0.077	0	0.476	0.555
ADAMTS1	THSD4	9606.ENSP00000284984	9606.ENSP00000347484	0	0	0	0.577	0.089	0	0.900	0.379	0.919
AGTR1	SERPINE1	9606.ENSP00000419422	9606.ENSP00000223095	0	0	0	0	0.064	0.056	0.800	0.560	0.911
AGTR1	VCAM1	9606.ENSP00000419422	9606.ENSP00000294728	0	0	0	0	0.076	0	0	0.460	0.479
AGTR1	FN1	9606.ENSP00000419422	9606.ENSP00000346839	0	0	0	0	0.095	0	0	0.469	0.498
AGTR1	SCNN1A	9606.ENSP00000419422	9606.ENSP00000353292	0	0	0	0	0.062	0	0	0.406	0.419
AGTR1	SPP1	9606.ENSP00000419422	9606.ENSP00000378517	0	0	0	0	0	0	0	0.403	0.403
AJUBA	CDH1	9606.ENSP00000262713	9606.ENSP00000261769	0	0	0	0	0.062	0.289	0.900	0.264	0.944
AKR1B10	PGM5	9606.ENSP00000352584	9606.ENSP00000379678	0	0	0	0	0.232	0.148	0	0.189	0.422
ALX4	TWIST1	9606.ENSP00000332744	9606.ENSP00000242261	0	0	0	0	0.070	0	0	0.472	0.488
ALX4	TP63	9606.ENSP00000332744	9606.ENSP00000264731	0	0	0	0	0	0.077	0	0.398	0.420
ALX4	SFRP2	9606.ENSP00000332744	9606.ENSP00000274063	0	0	0	0	0	0.112	0	0.374	0.420
ALX4	EFNA4	9606.ENSP00000332744	9606.ENSP00000414378	0	0	0	0	0	0	0	0.403	0.403
ALX4	PAX1	9606.ENSP00000332744	9606.ENSP00000381499	0	0	0	0	0.064	0	0	0.406	0.420
ALX4	PRDM6	9606.ENSP00000332744	9606.ENSP00000384725	0	0	0	0	0.064	0.076	0	0.609	0.633
ANKRD20A2	ARHGEF5	9606.ENSP00000366826	9606.ENSP00000056217	0	0	0	0	0	0.056	0	0.556	0.562
APOB	CETP	9606.ENSP00000233242	9606.ENSP00000200676	0	0	0	0	0.066	0	0.900	0.892	0.989
APOB	SERPIND1	9606.ENSP00000233242	9606.ENSP00000215727	0	0	0	0	0.551	0	0	0.340	0.691
APOB	SERPINE1	9606.ENSP00000233242	9606.ENSP00000223095	0	0	0	0	0.072	0	0	0.606	0.619
APOB	HBA1	9606.ENSP00000233242	9606.ENSP00000322421	0	0	0	0	0.070	0	0	0.391	0.409
APOB	FN1	9606.ENSP00000233242	9606.ENSP00000346839	0	0	0	0	0.086	0	0	0.393	0.421
APOB	CFH	9606.ENSP00000233242	9606.ENSP00000356399	0	0	0	0	0.073	0	0	0.414	0.433
APOB	SELE	9606.ENSP00000233242	9606.ENSP00000331736	0	0	0	0	0.049	0	0	0.469	0.473
APOB	HGFAC	9606.ENSP00000233242	9606.ENSP00000421801	0	0	0	0	0.474	0.104	0	0.082	0.530
APOB	C6	9606.ENSP00000233242	9606.ENSP00000263413	0	0	0	0	0.534	0	0	0.046	0.536
APOB	VCAM1	9606.ENSP00000233242	9606.ENSP00000294728	0	0	0	0	0.061	0	0	0.565	0.574
APOB	APOBEC3B	9606.ENSP00000233242	9606.ENSP00000327459	0	0	0	0	0	0	0	0.603	0.603
APOB	HBE1	9606.ENSP00000233242	9606.ENSP00000369586	0	0	0	0	0.538	0	0	0.178	0.604
APOB	APOBEC3C	9606.ENSP00000233242	9606.ENSP00000355340	0	0	0	0	0	0	0	0.625	0.625
APOB	PCK1	9606.ENSP00000233242	9606.ENSP00000319814	0	0	0	0	0.519	0	0	0.337	0.667
APOB	NPC1L1	9606.ENSP00000233242	9606.ENSP00000289547	0	0	0	0	0.096	0	0	0.690	0.708
APOB	GPC3	9606.ENSP00000233242	9606.ENSP00000377836	0	0	0	0	0.312	0.127	0.600	0.067	0.745
APOB	ITIH2	9606.ENSP00000233242	9606.ENSP00000351190	0	0	0	0	0.733	0	0	0.171	0.770
APOB	PCSK9	9606.ENSP00000233242	9606.ENSP00000303208	0	0	0	0	0.120	0	0	0.955	0.959
APOBEC3B	APOBEC3C	9606.ENSP00000327459	9606.ENSP00000355340	0	0	0	0.938	0.088	0	0.900	0.859	0.909
ATF3	CXCL2	9606.ENSP00000344352	9606.ENSP00000427279	0	0	0	0	0.207	0	0	0.376	0.484
ATF3	KLF4	9606.ENSP00000344352	9606.ENSP00000363804	0	0	0	0	0.135	0.062	0	0.552	0.604
ATF3	NR4A1	9606.ENSP00000344352	9606.ENSP00000440864	0	0	0	0	0.258	0.146	0	0.568	0.702
BNC2	KCNJ13	9606.ENSP00000370047	9606.ENSP00000233826	0	0	0	0	0	0	0	0.442	0.442
BNC2	GPR25	9606.ENSP00000370047	9606.ENSP00000301917	0	0	0	0	0	0	0	0.610	0.610
BNC2	GPR126	9606.ENSP00000370047	9606.ENSP00000356581	0	0	0	0	0	0	0	0.414	0.414
BNC2	PAX1	9606.ENSP00000370047	9606.ENSP00000381499	0	0	0	0	0	0	0	0.437	0.437
C17orf105	FAM106A	9606.ENSP00000415662	9606.ENSP00000437812	0	0	0	0	0	0	0	0.418	0.418
C21orf58	KLHDC7A	9606.ENSP00000291691	9606.ENSP00000383505	0	0	0	0	0	0	0	0.465	0.465
C22orf39	TRIM73	9606.ENSP00000382474	9606.ENSP00000318615	0	0	0	0	0	0	0	0.500	0.499
C2orf54	KLHDC7A	9606.ENSP00000373586	9606.ENSP00000383505	0	0	0	0	0	0	0	0.475	0.475
C6	LUM	9606.ENSP00000263413	9606.ENSP00000266718	0	0	0	0	0.065	0	0	0.385	0.400
C6	HGFAC	9606.ENSP00000263413	9606.ENSP00000421801	0	0	0	0	0.471	0.077	0	0.050	0.495
C6	CFH	9606.ENSP00000263413	9606.ENSP00000356399	0	0	0	0	0.108	0	0	0.494	0.530
C6	C7	9606.ENSP00000263413	9606.ENSP00000322061	0	0	0	0.811	0.173	0.947	0.900	0.623	0.995
C6orf118	TTLL2	9606.ENSP00000230301	9606.ENSP00000239587	0	0	0	0	0.053	0	0	0.504	0.510
C7	ITIH2	9606.ENSP00000322061	9606.ENSP00000351190	0	0	0	0	0	0	0	0.418	0.418
C7	HBA1	9606.ENSP00000322061	9606.ENSP00000322421	0	0	0	0	0	0	0	0.419	0.419
CABP4	MYOC	9606.ENSP00000324960	9606.ENSP00000037502	0	0	0	0	0	0	0	0.583	0.583
CABP4	KCNJ13	9606.ENSP00000324960	9606.ENSP00000233826	0	0	0	0	0	0	0	0.431	0.431
CABP4	EGFLAM	9606.ENSP00000324960	9606.ENSP00000346964	0	0	0	0	0	0.174	0	0.499	0.569
CABP4	CACNA2D4	9606.ENSP00000324960	9606.ENSP00000372169	0	0	0	0	0.059	0	0	0.720	0.725
CCDC154	SAMD11	9606.ENSP00000373828	9606.ENSP00000342313	0	0	0	0	0	0	0	0.476	0.476
CCDC81	ESPNL	9606.ENSP00000415528	9606.ENSP00000339115	0	0	0	0	0	0	0	0.452	0.452
CCL19	CSF3	9606.ENSP00000308815	9606.ENSP00000225474	0	0	0	0	0.076	0	0.900	0.338	0.933
CCL19	LYVE1	9606.ENSP00000308815	9606.ENSP00000256178	0	0	0	0	0.135	0	0	0.492	0.543
CCL19	CCL21	9606.ENSP00000308815	9606.ENSP00000259607	0	0	0	0.844	0.547	0	0.800	0.915	0.919
CCL19	VCAM1	9606.ENSP00000308815	9606.ENSP00000294728	0	0	0	0	0.196	0	0	0.571	0.640
CCL19	CXCL11	9606.ENSP00000308815	9606.ENSP00000306884	0	0	0	0	0.142	0	0	0.681	0.714
CCL19	CD209	9606.ENSP00000308815	9606.ENSP00000315477	0	0	0	0	0.076	0	0	0.415	0.436
CCL19	CD44	9606.ENSP00000308815	9606.ENSP00000398632	0	0	0	0	0	0	0	0.439	0.439
CCL19	SELE	9606.ENSP00000308815	9606.ENSP00000331736	0	0	0	0	0.104	0	0	0.400	0.439
CCL19	CXCR6	9606.ENSP00000308815	9606.ENSP00000395704	0	0	0	0	0.102	0	0.600	0.455	0.787
CCL19	CXCL2	9606.ENSP00000308815	9606.ENSP00000427279	0	0	0	0	0.062	0	0.600	0.536	0.810
CCL19	CXCL1	9606.ENSP00000308815	9606.ENSP00000379110	0	0	0	0	0.062	0	0.600	0.615	0.842
CCL19	CXCR4	9606.ENSP00000308815	9606.ENSP00000386884	0	0	0	0	0	0	0.600	0.733	0.888
CCL19	CCL20	9606.ENSP00000308815	9606.ENSP00000351671	0	0	0	0	0.085	0	0.600	0.718	0.888
CCL19	CCRL2	9606.ENSP00000308815	9606.ENSP00000349967	0	0	0	0	0.076	0	0.800	0.941	0.988
CCL20	CSF3	9606.ENSP00000351671	9606.ENSP00000225474	0	0	0	0	0.158	0	0.900	0.601	0.963
CCL20	KLRB1	9606.ENSP00000351671	9606.ENSP00000229402	0	0	0	0	0	0	0	0.451	0.451
CCL20	IL9	9606.ENSP00000351671	9606.ENSP00000274520	0	0	0	0	0	0	0	0.549	0.549
CCL20	VCAM1	9606.ENSP00000351671	9606.ENSP00000294728	0	0	0	0	0.065	0	0	0.506	0.518
CCL20	CXCL11	9606.ENSP00000351671	9606.ENSP00000306884	0	0	0	0	0.088	0.274	0	0.701	0.785
CCL20	SELE	9606.ENSP00000351671	9606.ENSP00000331736	0	0	0	0	0	0	0	0.426	0.426
CCL20	CCRL2	9606.ENSP00000351671	9606.ENSP00000349967	0	0	0	0	0.093	0	0	0.940	0.943
CCL20	PRF1	9606.ENSP00000351671	9606.ENSP00000398568	0	0	0	0	0	0	0	0.410	0.410
CCL20	CXCR4	9606.ENSP00000351671	9606.ENSP00000386884	0	0	0	0	0	0	0.600	0.601	0.833
CCL20	CXCR6	9606.ENSP00000351671	9606.ENSP00000395704	0	0	0	0	0	0	0.600	0.618	0.841
CCL20	CXCL2	9606.ENSP00000351671	9606.ENSP00000427279	0	0	0	0	0.248	0	0.600	0.772	0.925
CCL20	CXCL1	9606.ENSP00000351671	9606.ENSP00000379110	0	0	0	0	0.553	0	0.600	0.794	0.960
CCL21	LYVE1	9606.ENSP00000259607	9606.ENSP00000256178	0	0	0	0	0.155	0	0	0.677	0.716
CCL21	FN1	9606.ENSP00000259607	9606.ENSP00000346839	0	0	0	0	0	0	0	0.425	0.424
CCL21	SELE	9606.ENSP00000259607	9606.ENSP00000331736	0	0	0	0	0.126	0	0	0.415	0.466
CCL21	CXCL1	9606.ENSP00000259607	9606.ENSP00000379110	0	0	0	0	0.055	0.056	0	0.567	0.580
CCL21	CD44	9606.ENSP00000259607	9606.ENSP00000398632	0	0	0	0	0	0	0	0.600	0.600
CCL21	VCAM1	9606.ENSP00000259607	9606.ENSP00000294728	0	0	0	0	0.122	0	0	0.593	0.628
CCL21	CXCL2	9606.ENSP00000259607	9606.ENSP00000427279	0	0	0	0	0.055	0.248	0	0.528	0.635
CCL21	CXCL11	9606.ENSP00000259607	9606.ENSP00000306884	0	0	0	0	0.061	0.237	0	0.633	0.714
CCL21	CCRL2	9606.ENSP00000259607	9606.ENSP00000349967	0	0	0	0	0	0.056	0	0.728	0.733
CCL21	CXCR6	9606.ENSP00000259607	9606.ENSP00000395704	0	0	0	0	0.062	0	0.600	0.423	0.764
CCL21	CXCR4	9606.ENSP00000259607	9606.ENSP00000386884	0	0	0	0	0.062	0.056	0.600	0.812	0.925
CCNA2	HIST1H4F	9606.ENSP00000274026	9606.ENSP00000244537	0	0	0	0	0.065	0.071	0	0.402	0.436
CCNA2	CDH1	9606.ENSP00000274026	9606.ENSP00000261769	0	0	0	0	0	0.145	0	0.503	0.556
CCNA2	FBXO43	9606.ENSP00000274026	9606.ENSP00000403293	0	0	0	0	0.107	0.146	0	0.381	0.487
CCNA2	PGR	9606.ENSP00000274026	9606.ENSP00000325120	0	0	0	0	0	0.225	0	0.405	0.519
CCNA2	CDC45	9606.ENSP00000274026	9606.ENSP00000405726	0	0	0	0	0.818	0.078	0	0.603	0.927
CCNA2	CEP55	9606.ENSP00000274026	9606.ENSP00000360540	0	0	0	0	0.942	0	0	0.330	0.959
CCRL2	KLRB1	9606.ENSP00000349967	9606.ENSP00000229402	0	0	0	0	0.088	0	0	0.717	0.730
CCRL2	IL9	9606.ENSP00000349967	9606.ENSP00000274520	0	0	0	0	0	0	0	0.519	0.519
CCRL2	CXCL11	9606.ENSP00000349967	9606.ENSP00000306884	0	0	0	0	0.099	0	0	0.560	0.586
